                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79952,                 1.6584,                 1.3347,                0.29321,                0.58498,                0.31715,                0.15482,                 1.5923,                 8.8256,                 2.9236,             0.00054332,             0.00054332,             0.00054332
                      2,                0.88188,                 1.0503,                 1.3871,                 0.1947,                0.34246,                0.21487,                0.11022,                 2.4561,                 7.3018,                 4.8525,              0.0010834,              0.0010834,              0.0010834
                      3,                0.92581,                  1.048,                 1.4035,                0.02492,                0.02703,                0.00438,                0.00156,                 4.1844,                 237.13,                 21.772,              0.0016078,              0.0016078,              0.0016078
                      4,                0.92502,                 1.0273,                 1.4245,                0.67651,                0.27632,                0.16331,                0.10809,                 2.3115,                 6.0663,                 3.8359,              0.0015963,              0.0015963,              0.0015963
                      5,                0.86405,                0.94186,                 1.3494,                 0.4869,                0.57167,                 0.4796,                0.34213,                 1.4738,                 2.3645,                 2.6333,              0.0015963,              0.0015963,              0.0015963
                      6,                0.81615,                0.86484,                 1.3172,                0.59338,                0.62198,                 0.6786,                0.43564,                 1.1237,                   2.11,                  2.025,              0.0015727,              0.0015727,              0.0015727
                      7,                0.78756,                0.82787,                  1.306,                0.14552,                0.36202,                0.10072,                 0.0505,                 2.0353,                 2.9211,                 2.4504,              0.0015491,              0.0015491,              0.0015491
                      8,                0.75239,                0.82278,                 1.2798,                0.80185,                0.88648,                 0.8404,                0.62401,                0.83001,                0.97316,                 1.5085,              0.0015255,              0.0015255,              0.0015255
                      9,                 0.7394,                0.72152,                 1.2535,                0.87066,                0.97794,                0.90258,                0.72178,                0.80399,                0.62131,                 1.5152,               0.001502,               0.001502,               0.001502
                     10,                0.70165,                0.68022,                 1.2436,                0.71408,                0.83262,                0.82892,                0.63286,                0.87925,                0.87586,                 1.4607,              0.0014784,              0.0014784,              0.0014784
                     11,                0.67097,                 0.6833,                 1.2137,                0.87269,                0.94737,                 0.9248,                0.68588,                0.86751,                0.88662,                 1.4718,              0.0014548,              0.0014548,              0.0014548
                     12,                0.64903,                0.61466,                 1.1958,                 0.8758,                0.92501,                0.90492,                0.73651,                0.69266,                0.60768,                 1.3069,              0.0014312,              0.0014312,              0.0014312
                     13,                0.64478,                0.59318,                 1.1913,                0.88722,                0.97297,                 0.9378,                0.77979,                0.64953,                0.52622,                 1.2584,              0.0014077,              0.0014077,              0.0014077
                     14,                0.65394,                0.59431,                 1.2047,                 0.8461,                0.89225,                0.90189,                0.72689,                0.77699,                 0.6572,                 1.3579,              0.0013841,              0.0013841,              0.0013841
                     15,                0.63754,                0.57836,                 1.1952,                 0.8585,                 0.9005,                0.91663,                0.77041,                0.67944,                0.64868,                 1.2741,              0.0013605,              0.0013605,              0.0013605
                     16,                0.62641,                0.62033,                 1.1728,                 0.8698,                0.93609,                0.92951,                0.79783,                0.72963,                0.65564,                 1.3348,              0.0013369,              0.0013369,              0.0013369
                     17,                0.61706,                0.57313,                 1.1812,                0.78895,                0.82681,                0.82294,                0.66019,                0.77843,                0.90056,                 1.3613,              0.0013134,              0.0013134,              0.0013134
                     18,                0.61159,                 0.5378,                 1.1544,                0.84851,                0.82484,                0.83759,                0.71601,                0.82912,                0.60255,                 1.3604,              0.0012898,              0.0012898,              0.0012898
                     19,                0.58464,                0.51526,                 1.1389,                0.70512,                0.81117,                0.81791,                0.68163,                0.89787,                0.83574,                 1.5393,              0.0012662,              0.0012662,              0.0012662
                     20,                0.60373,                0.55087,                 1.1587,                 0.8668,                0.93279,                0.91866,                 0.7828,                   0.63,                0.56247,                 1.2221,              0.0012426,              0.0012426,              0.0012426
                     21,                0.57877,                0.52792,                 1.1508,                0.90992,                0.97312,                0.97288,                0.84462,                0.65065,                 0.4722,                 1.2476,              0.0012191,              0.0012191,              0.0012191
                     22,                0.56487,                0.50038,                 1.1328,                0.88171,                0.93484,                0.92423,                0.80734,                0.62597,                0.51891,                 1.2214,              0.0011955,              0.0011955,              0.0011955
                     23,                 0.5792,                0.50997,                 1.1517,                0.91104,                 0.8885,                0.92085,                0.79328,                0.65416,                0.59261,                  1.186,              0.0011719,              0.0011719,              0.0011719
                     24,                0.56657,                0.49096,                 1.1346,                0.83812,                0.94388,                0.91379,                0.77166,                0.70317,                0.57564,                 1.2578,              0.0011483,              0.0011483,              0.0011483
                     25,                  0.576,                0.49494,                 1.1489,                0.80564,                0.78101,                0.83013,                0.71415,                0.82631,                0.83753,                  1.348,              0.0011247,              0.0011247,              0.0011247
                     26,                0.55259,                0.47146,                 1.1195,                0.90344,                0.94595,                0.94549,                0.84371,                0.56165,                0.52183,                 1.1018,              0.0011012,              0.0011012,              0.0011012
                     27,                0.55615,                0.48229,                 1.1341,                0.89796,                0.95847,                0.96149,                0.84152,                0.57314,                0.46069,                 1.1161,              0.0010776,              0.0010776,              0.0010776
                     28,                0.52926,                0.45364,                 1.1007,                0.91872,                0.93385,                0.93492,                0.79769,                0.62744,                0.49503,                 1.1811,               0.001054,               0.001054,               0.001054
